id,odd
70,"[(4, 0.22220428), (5, 0.06598337), (6, 0.15652911), (7, 0.015239874), (8, 0.24614203), (9, 0.28954706)]"
71,"[(0, 0.101614796), (2, 0.01822785), (3, 0.09224277), (4, 0.34108257), (5, 0.44128793)]"
72,"[(0, 0.09461397), (2, 0.02206384), (3, 0.03948837), (4, 0.50259715), (5, 0.024000505), (6, 0.2765146), (9, 0.038437624)]"
73,"[(1, 0.027047278), (2, 0.07781139), (3, 0.29748416), (4, 0.32368588), (5, 0.07203743), (6, 0.0394051), (7, 0.09132327), (8, 0.06876267)]"
74,"[(0, 0.109397665), (3, 0.12276268), (4, 0.107152656), (6, 0.11010855), (7, 0.38374954), (8, 0.1638169)]"
75,"[(0, 0.29188067), (2, 0.08900261), (3, 0.05021111), (4, 0.12069047), (5, 0.088858284), (6, 0.03908814), (7, 0.080990665), (8, 0.19892555), (9, 0.040180713)]"
76,"[(0, 0.35833845), (2, 0.081030905), (3, 0.04165974), (4, 0.08499348), (5, 0.0808148), (6, 0.03772708), (7, 0.09555537), (8, 0.15436843), (9, 0.065315165)]"
77,"[(0, 0.16610599), (2, 0.10569131), (4, 0.47575885), (5, 0.028181477), (6, 0.09098092), (7, 0.03993346), (8, 0.09173696)]"
78,"[(0, 0.151962), (2, 0.15087888), (3, 0.17227814), (4, 0.27309874), (6, 0.11188558), (7, 0.033200473), (8, 0.10522445)]"
79,"[(0, 0.3572645), (2, 0.06770621), (4, 0.25113553), (5, 0.070632495), (6, 0.012745763), (7, 0.121252984), (8, 0.055516098), (9, 0.06319976)]"
80,"[(0, 0.06980452), (2, 0.057177257), (3, 0.04403799), (4, 0.13841659), (5, 0.06409988), (6, 0.04564648), (7, 0.45653984), (8, 0.12378336)]"
81,"[(0, 0.08408017), (2, 0.2823105), (3, 0.08949661), (4, 0.17032255), (6, 0.036486004), (7, 0.03164426), (8, 0.21214084), (9, 0.0858758)]"
82,"[(0, 0.08711187), (2, 0.041167792), (4, 0.18917511), (5, 0.09148596), (6, 0.038391337), (7, 0.44228005), (8, 0.109433174)]"
