id,source,date
554,Others,202105
555,Others,202105
556,Others,202105
557,Others,202105
558,Others,202105
559,Others,202105
560,Others,202105
561,Others,202105
562,Others,202105
563,Others,202105
564,Others,202105
565,Others,202105
566,Others,202105
567,Others,202106
568,Others,202106
569,Others,202106
570,Others,202106
571,Others,202106
572,Others,202106
573,Others,202106
574,Others,202106
575,Others,202106
576,Others,202106
577,Others,202106
578,Others,202106
579,Others,202106
580,Others,202107
581,Others,202108
582,Others,202108
583,Others,202108
584,Others,202108
585,Others,202108
586,Others,202108
587,Others,202108
588,Others,202108
589,Others,202109
590,Others,202109
591,Others,202109
592,Others,202109
593,Others,202110
594,Others,202110
595,Others,202110
596,Others,202110
597,Others,202111
598,Others,202112
599,Others,202112
600,Star Tribune,202003
601,Star Tribune,202003
602,Star Tribune,202005
603,Star Tribune,202103
604,Star Tribune,202104
605,USA Today,202103
606,USA Today,202103
607,USA Today,202003
608,USA Today,202004
609,USA Today,202005
610,USA Today,202006
611,USA Today,202007
612,USA Today,202009
613,USA Today,202010
614,USA Today,202010
615,USA Today,202010
616,USA Today,202010
617,USA Today,202012
618,USA Today,202012
619,USA Today,202102
620,USA Today,202102
621,USA Today,202102
622,USA Today,202102
623,USA Today,202102
624,USA Today,202102
625,USA Today,202103
626,USA Today,202103
627,USA Today,202103
628,USA Today,202103
629,USA Today,202103
630,USA Today,202103
631,USA Today,202103
632,USA Today,202103
633,USA Today,202103
634,USA Today,202103
635,USA Today,202103
636,USA Today,202103
637,USA Today,202103
638,USA Today,202103
639,USA Today,202103
640,USA Today,202103
641,USA Today,202103
642,USA Today,202103
643,USA Today,202103
644,USA Today,202103
645,USA Today,202103
646,USA Today,202103
647,USA Today,202103
648,USA Today,202103
649,USA Today,202103
650,USA Today,202104
651,USA Today,202104
652,USA Today,202104
653,USA Today,202104
654,USA Today,202104
655,USA Today,202105
656,USA Today,202105
657,Washington Post,202003
658,Washington Post,202004
659,Washington Post,202004
660,Washington Post,202004
661,Washington Post,202005
662,Washington Post,202005
663,Washington Post,202006
664,Washington Post,202007
665,Washington Post,202010
666,Washington Post,202101
667,Washington Post,202102
668,Washington Post,202102
669,Washington Post,202102
670,Washington Post,202103
671,Washington Post,202103
672,Washington Post,202103
673,Washington Post,202103
674,Washington Post,202103
675,Washington Post,202103
676,Washington Post,202103
677,Washington Post,202103
678,Washington Post,202103
679,Washington Post,202103
680,Washington Post,202105
